index,month,year,days,report_date,journey_type,journeys_millions
0,2,2020,29,2020-06-30T00:00:00.000,Underground & DLR,8.041099198
1,2,2020,29,2020-06-30T00:00:00.000,Bus,32.4672429
2,2,2020,29,2020-06-30T00:00:00.000,Tram,0.470811182
3,2,2020,29,2020-06-30T00:00:00.000,Overground,1.491889551
4,2,2020,29,2020-06-30T00:00:00.000,Emirates Airline,0.004978
5,2,2020,29,2020-06-30T00:00:00.000,TfL Rail,0.700218177
6,1,2020,31,2020-06-30T00:00:00.000,Underground & DLR,6.950756766
7,3,2020,31,2020-06-30T00:00:00.000,Underground & DLR,15.4406231
8,1,2020,31,2020-06-30T00:00:00.000,Bus,30.22373646
9,3,2020,31,2020-06-30T00:00:00.000,Bus,46.95951983
10,1,2020,31,2020-06-30T00:00:00.000,Tram,0.440934103
11,3,2020,31,2020-06-30T00:00:00.000,Tram,0.704707251
12,1,2020,31,2020-06-30T00:00:00.000,Overground,0.999692678
13,3,2020,31,2020-06-30T00:00:00.000,Overground,2.797743723
14,1,2020,31,2020-06-30T00:00:00.000,Emirates Airline,0.000169
15,3,2020,31,2020-06-30T00:00:00.000,Emirates Airline,0.015716
16,1,2020,31,2020-06-30T00:00:00.000,TfL Rail,0.594614839
17,3,2020,31,2020-06-30T00:00:00.000,TfL Rail,1.15834799
18,2,2013,28,2013-06-30T00:00:00.000,Underground & DLR,105.064674
19,2,2013,28,2013-06-30T00:00:00.000,Bus,188.7783616
20,2,2013,28,2013-06-30T00:00:00.000,Tram,2.471114322
21,2,2013,28,2013-06-30T00:00:00.000,Overground,10.33791163
22,2,2013,28,2013-06-30T00:00:00.000,Emirates Airline,0.128717
23,2,2013,28,2013-06-30T00:00:00.000,TfL Rail,
24,1,2013,31,2013-06-30T00:00:00.000,Underground & DLR,99.74275141
25,3,2013,31,2013-06-30T00:00:00.000,Underground & DLR,103.5364018
26,1,2013,31,2013-06-30T00:00:00.000,Bus,171.634596
27,3,2013,31,2013-06-30T00:00:00.000,Bus,183.498908
28,1,2013,31,2013-06-30T00:00:00.000,Tram,2.2857799
29,3,2013,31,2013-06-30T00:00:00.000,Tram,2.384661963
30,1,2013,31,2013-06-30T00:00:00.000,Overground,10.27484354
31,3,2013,31,2013-06-30T00:00:00.000,Overground,10.90388008
32,1,2013,31,2013-06-30T00:00:00.000,Emirates Airline,0.138309
33,3,2013,31,2013-06-30T00:00:00.000,Emirates Airline,0.141628
34,1,2013,31,2013-06-30T00:00:00.000,TfL Rail,
35,3,2013,31,2013-06-30T00:00:00.000,TfL Rail,
36,9,2016,30,2016-12-31T00:00:00.000,Underground & DLR,126.7160291
37,9,2016,30,2016-12-31T00:00:00.000,Bus,182.6521273
38,9,2016,30,2016-12-31T00:00:00.000,Tram,2.123296512
39,9,2016,30,2016-12-31T00:00:00.000,Overground,15.69699568
40,9,2016,30,2016-12-31T00:00:00.000,Emirates Airline,0.080307
41,9,2016,30,2016-12-31T00:00:00.000,TfL Rail,4.011194419
42,7,2016,31,2016-12-31T00:00:00.000,Underground & DLR,120.0079534
43,8,2016,31,2016-12-31T00:00:00.000,Underground & DLR,122.6700472
44,7,2016,31,2016-12-31T00:00:00.000,Bus,186.9184053
45,8,2016,31,2016-12-31T00:00:00.000,Bus,176.6024622
46,7,2016,31,2016-12-31T00:00:00.000,Tram,2.518967928
47,8,2016,31,2016-12-31T00:00:00.000,Tram,2.219800939
48,7,2016,31,2016-12-31T00:00:00.000,Overground,15.23670263
49,8,2016,31,2016-12-31T00:00:00.000,Overground,15.43628028
50,7,2016,31,2016-12-31T00:00:00.000,Emirates Airline,0.09988225
51,8,2016,31,2016-12-31T00:00:00.000,Emirates Airline,0.118994
52,7,2016,31,2016-12-31T00:00:00.000,TfL Rail,3.738489267
53,8,2016,31,2016-12-31T00:00:00.000,TfL Rail,3.826849348
54,11,2020,30,2021-03-31T00:00:00.000,Underground & DLR,19.41306327
55,11,2020,30,2021-03-31T00:00:00.000,Bus,51.62279978
56,11,2020,30,2021-03-31T00:00:00.000,Tram,0.668000889
57,11,2020,30,2021-03-31T00:00:00.000,Overground,3.499736136
58,11,2020,30,2021-03-31T00:00:00.000,Emirates Airline,0.018906
59,11,2020,30,2021-03-31T00:00:00.000,TfL Rail,1.154206467
60,10,2020,31,2021-03-31T00:00:00.000,Underground & DLR,21.57123913
61,12,2020,31,2021-03-31T00:00:00.000,Underground & DLR,22.86173855
62,10,2020,31,2021-03-31T00:00:00.000,Bus,57.48044274
63,12,2020,31,2021-03-31T00:00:00.000,Bus,56.89329743
64,10,2020,31,2021-03-31T00:00:00.000,Tram,0.73895385
65,12,2020,31,2021-03-31T00:00:00.000,Tram,0.772059038
66,10,2020,31,2021-03-31T00:00:00.000,Overground,3.192937975
67,12,2020,31,2021-03-31T00:00:00.000,Overground,4.38364971
68,10,2020,31,2021-03-31T00:00:00.000,Emirates Airline,0.029085
69,12,2020,31,2021-03-31T00:00:00.000,Emirates Airline,0.050903
70,10,2020,31,2021-03-31T00:00:00.000,TfL Rail,1.218441048
71,12,2020,31,2021-03-31T00:00:00.000,TfL Rail,1.363278027
72,4,2017,30,2017-09-30T00:00:00.000,Underground & DLR,118.5452633
73,6,2017,30,2017-09-30T00:00:00.000,Underground & DLR,105.0908914
74,4,2017,30,2017-09-30T00:00:00.000,Bus,181.4774547
75,6,2017,30,2017-09-30T00:00:00.000,Bus,165.9884702
76,4,2017,30,2017-09-30T00:00:00.000,Tram,2.366947479
77,6,2017,30,2017-09-30T00:00:00.000,Tram,2.207812359
78,4,2017,30,2017-09-30T00:00:00.000,Overground,14.98989134
79,6,2017,30,2017-09-30T00:00:00.000,Overground,14.54848112
80,4,2017,30,2017-09-30T00:00:00.000,Emirates Airline,0.129216
81,6,2017,30,2017-09-30T00:00:00.000,Emirates Airline,0.121204
82,4,2017,30,2017-09-30T00:00:00.000,TfL Rail,3.708985052
83,6,2017,30,2017-09-30T00:00:00.000,TfL Rail,3.295722397
84,5,2017,31,2017-09-30T00:00:00.000,Underground & DLR,110.1956401
85,5,2017,31,2017-09-30T00:00:00.000,Bus,155.1018845
86,5,2017,31,2017-09-30T00:00:00.000,Tram,2.060928147
87,5,2017,31,2017-09-30T00:00:00.000,Overground,14.44132847
88,5,2017,31,2017-09-30T00:00:00.000,Emirates Airline,0.179892
89,5,2017,31,2017-09-30T00:00:00.000,TfL Rail,3.465754813
90,11,2013,30,2014-03-31T00:00:00.000,Underground & DLR,104.5940478
91,11,2013,30,2014-03-31T00:00:00.000,Bus,186.6478788
92,11,2013,30,2014-03-31T00:00:00.000,Tram,2.447911409
93,11,2013,30,2014-03-31T00:00:00.000,Overground,10.30713502
94,11,2013,30,2014-03-31T00:00:00.000,Emirates Airline,0.067098
95,11,2013,30,2014-03-31T00:00:00.000,TfL Rail,
96,10,2013,31,2014-03-31T00:00:00.000,Underground & DLR,90.35986225
97,12,2013,31,2014-03-31T00:00:00.000,Underground & DLR,102.5768518
98,10,2013,31,2014-03-31T00:00:00.000,Bus,155.1304078
99,12,2013,31,2014-03-31T00:00:00.000,Bus,185.6287836
100,10,2013,31,2014-03-31T00:00:00.000,Tram,2.033851329
101,12,2013,31,2014-03-31T00:00:00.000,Tram,2.433560379
102,10,2013,31,2014-03-31T00:00:00.000,Overground,8.142000786
103,12,2013,31,2014-03-31T00:00:00.000,Overground,10.80797722
104,10,2013,31,2014-03-31T00:00:00.000,Emirates Airline,0.068595
105,12,2013,31,2014-03-31T00:00:00.000,Emirates Airline,0.084601
106,10,2013,31,2014-03-31T00:00:00.000,TfL Rail,
107,12,2013,31,2014-03-31T00:00:00.000,TfL Rail,
108,4,2010,30,2010-09-30T00:00:00.000,Underground & DLR,92.5440925
109,6,2010,30,2010-09-30T00:00:00.000,Underground & DLR,86.3757023
110,4,2010,30,2010-09-30T00:00:00.000,Bus,183.4280516
111,6,2010,30,2010-09-30T00:00:00.000,Bus,175.8073358
112,4,2010,30,2010-09-30T00:00:00.000,Tram,2.1419405
113,6,2010,30,2010-09-30T00:00:00.000,Tram,2.0267475
114,4,2010,30,2010-09-30T00:00:00.000,Overground,
115,6,2010,30,2010-09-30T00:00:00.000,Overground,
116,4,2010,30,2010-09-30T00:00:00.000,Emirates Airline,
117,6,2010,30,2010-09-30T00:00:00.000,Emirates Airline,
118,4,2010,30,2010-09-30T00:00:00.000,TfL Rail,
119,6,2010,30,2010-09-30T00:00:00.000,TfL Rail,
120,5,2010,31,2010-09-30T00:00:00.000,Underground & DLR,88.66291085
121,5,2010,31,2010-09-30T00:00:00.000,Bus,160.4227672
122,5,2010,31,2010-09-30T00:00:00.000,Tram,2.0084825
123,5,2010,31,2010-09-30T00:00:00.000,Overground,
124,5,2010,31,2010-09-30T00:00:00.000,Emirates Airline,
125,5,2010,31,2010-09-30T00:00:00.000,TfL Rail,
126,2,2018,28,2018-06-30T00:00:00.000,Underground & DLR,115.3119189
127,2,2018,28,2018-06-30T00:00:00.000,Bus,179.6128231
128,2,2018,28,2018-06-30T00:00:00.000,Tram,2.347233824
